name,goal,assist,cs,npxg,g,bcc,xa,bc,total_minn,total_goly,total_pen,total_pas,total_zhelt,total_kras
Maya Yoshida,None,None,None,None,None,None,None,None,,,,,,
Jack Young,None,None,None,None,None,None,None,None,,,,,,
Wilfried Zaha,0.20,0.12,0.13,1.14,1,0,0.5,1,,,,,,
André-Frank Zambo Anguissa,0.00,0.00,0.00,0.07,0,1,0.58,0,,,,,,
Davide Zappacosta,None,None,None,None,None,None,None,None,,,,,,
Andi Zeqiri,0.02,0.01,0.00,0.42,0,0,0.14,1,,,,,,
Karlo Ziger,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Oleksandr Zinchenko,0.00,0.01,0.02,0.14,0,0,0.02,0,,,,,,
Richairo Zivkovic,None,None,None,None,None,None,None,None,,,,,,
Hakim Ziyech,0.00,0.00,0.00,0.04,0,0,0.07,0,,,,,,
Kenneth Zohore,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Kurt Zouma,0.00,0.00,0.00,0.53,0,0,0.2,1,,,,,,
